ACT_Code,n,Crop,Fodder,Fibre,Livestock,Wild food,Aquaculture,Water,Regulating,Recreation,title
F03.01,2,,,,,x,,,,x,Hunting
F03.01.01,2,,,,,x,,,,x,damage caused by game (excess population density)
F03.02,2,,,,,x,,,,x,Taking and removal of animals (terrestrial)
F03.02.01,2,,,,,x,,,,x,"collection of animals (insects, reptiles, amphibians.....)"
F03.02.02,2,,,,,x,,,,x,taking from nest (e.g. falcons)
F03.02.03,2,,,,,x,,,,x,"trapping, poisoning, poaching"
F03.02.04,2,,,,,x,,,,x,predator control
F03.02.05,2,,,,,x,,,,x,accidential capture
F03.02.09,2,,,,,x,,,,x,other forms of taking animals
F04,3,,,x,,x,,,,x,"Taking / Removal of terrestrial plants, general"
F04.01,2,,,,,x,,,,x,pillaging of floristic stations
F04.02,2,,,,,x,,,,x,"collection (fungi, lichen, berries etc.)"
F04.02.01,2,,,,,x,,,,x,hand raking
F04.02.02,2,,,,,x,,,,x,hand collection
F05,0,,,,,,,,,,Illegal taking/ removal of marine fauna
F05.01,0,,,,,,,,,,dynamite
F05.02,0,,,,,,,,,,date mussel-fishing
F05.03,0,,,,,,,,,,poisons
F05.04,0,,,,,,,,,,poaching
F05.05,0,,,,,,,,,,shooting
F05.06,0,,,,,,,,,,removal for collection purposes
F05.07,0,,,,,,,,,,other (i.e. drift nets)
F06,3,,,x,,x,,,,x,"Hunting, fishing or collecting activities not referred to above"
F06.01,1,,,,,x,,,,,game/ bird breeding station
G,0,,,,,,,,,,Human intrusions and disturbances
G01,1,,,,,,,,,x,"Outdoor sports and leisure activities, recreational activities"
G01.01,1,,,,,,,,,x,nautical sports
G01.01.01,1,,,,,,,,,x,motorized nautical sports
G01.01.02,1,,,,,,,,,x,non-motorized nautical sports
G01.02,1,,,,,,,,,x,"walking, horseriding and non-motorised vehicles"
G01.03,1,,,,,,,,,x,motorised vehicles
G01.03.01,1,,,,,,,,,x,regular motorized driving
G01.03.02,1,,,,,,,,,x,off-road motorized driving
G01.04,1,,,,,,,,,x,"mountaineering, rock climbing, speleology"
G01.04.01,1,,,,,,,,,x,mountaineering & rock climbing
G01.04.02,1,,,,,,,,,x,speleology
G01.04.03,1,,,,,,,,,x,recreational cave visits
G01.05,1,,,,,,,,,x,"gliding, delta plane, paragliding, ballooning"
G01.06,1,,,,,,,,,x,"skiing, off-piste"
G01.07,1,,,,,,,,,x,"scubadiving, snorkelling"
G01.08,1,,,,,,,,,x,other outdoor sports and leisure activities
G02,1,,,,,,,,,x,Sport and leisure structures
G02.01,0,,,,,,,,,,golf course
G02.02,0,,,,,,,,,,skiing complex
G02.03,0,,,,,,,,,,stadium
G02.04,0,,,,,,,,,,"circuit, track"
G02.05,0,,,,,,,,,,hippodrome
G02.06,0,,,,,,,,,,attraction park
G02.07,0,,,,,,,,,,sports pitch
G02.08,1,,,,,,,,,x,camping and caravans
G02.09,1,,,,,,,,,x,wildlife watching
G02.10,0,,,,,,,,,,other sport / leisure complexes
G03,0,,,,,,,,,,Interpretative centres
G04,0,,,,,,,,,,Military use and civil unrest
G04.01,0,,,,,,,,,,Military manouvres
G04.02,0,,,,,,,,,,abandonment of military use
G05,0,,,,,,,,,,Other human intrusions and disturbances
G05.01,1,,,,,,,,,x,"Trampling, overuse"
G05.02,1,,,,,,,,,x,shallow surface abrasion/ mechanical damage to seabed surface
G05.03,1,,,,,,,,,x,penetration/ disturbance below surface of the seabed
G05.04,1,,,,,,,,,x,Vandalism
G05.05,1,,,,,,,,,x,intensive maintenance of public parcs /cleaning of beaches
G05.06,1,,,,,,,,,x,"tree surgery, felling for public safety, removal of roadside trees"
G05.07,0,,,,,,,,,,missing or wrongly directed conservation measures
G05.08,1,,,,,,,,,x,closures of caves or galleries
G05.09,1,,,,,,,,,x,"fences, fencing"
G05.10,0,,,,,,,,,,overflying with aircrafts (agricultural)
G05.11,1,,,,,,,,,x,death or injury by collision
H,0,,,,,,,,,,Pollution
H01,0,,,,,,,,,,"Pollution to surface waters (limnic & terrestrial, marine & brackish)"
H01.01,0,,,,,,,,,,pollution to surface waters by industrial plants
H01.02,0,,,,,,,,,,pollution to surface waters by storm overflows
H01.03,0,,,,,,,,,,other point source pollution to surface water
H01.04,0,,,,,,,,,,diffuse pollution to surface waters via strom overlows or urban run-off
H01.05,4,x,x,x,x,,,,,,diffuse pollution to surface waters due to agricultural and forestry activities
H01.06,0,,,,,,,,,,diffuse pollution to surface waters due to transport and infrastructure without connection to canalization/sweepers
H01.07,0,,,,,,,,,,diffuse pollution to surface waters due to abandoned industrial sites
H01.08,0,,,,,,,,,,diffuse pollution to surface waters due to household sewage and waste waters
H01.09,0,,,,,,,,,,diffuse pollution to surface waters due to other sources not listed
H02,0,,,,,,,,,,Pollution to groundwater (point sources and diffuse sources)
H02.01,0,,,,,,,,,,groundwater pollution by leakages from contaminated sites
H02.02,0,,,,,,,,,,groundwater pollution by leakages from waste disposal sites
H02.03,0,,,,,,,,,,groundwater pollution associated with oil industry infrastructure
H02.04,0,,,,,,,,,,groundwater pollution by mine water discharges
H02.05,0,,,,,,,,,,groundwater pollution by discharge to ground such as disposal of contaminated water to soakaways
H02.06,4,x,x,x,x,,,,,,diffuse groundwater pollution due to agricultural and forestry activities
H02.07,0,,,,,,,,,,diffuse groundwater pollution due to non-sewered population
H02.08,0,,,,,,,,,,diffuse groundwater pollution due to urban land use
H03,0,,,,,,,,,,Marine water pollution
H03.01,0,,,,,,,,,,oil spills in the sea
H03.02,0,,,,,,,,,,toxic chemical discharge from material dumped at sea
H03.02.01,0,,,,,,,,,,non-synthetic compound contamination
H03.02.02,0,,,,,,,,,,synthetic compound contamination
H03.02.03,0,,,,,,,,,,radionucleide contamination
H03.02.04,0,,,,,,,,,,"introduction of other substances (e.g. liquid, gas)"
H03.03,0,,,,,,,,,,"marine macro-pollution (i.e. plastic bags, styrofoam)"
H04,0,,,,,,,,,,"Air pollution, air-borne pollutants"
H04.01,0,,,,,,,,,,Acid rain
H04.02,3,x,x,,x,,,,,,Nitrogen-input
H04.03,0,,,,,,,,,,other air pollution
H05,0,,,,,,,,,,Soil pollution and solid waste (excluding discharges)
H05.01,0,,,,,,,,,,garbage and solid waste
H06,0,,,,,,,,,,excess energy
H06.01,0,,,,,,,,,,"Noise nuisance, noise pollution"
H06.01.01,0,,,,,,,,,,point source or irregular noise pollution
H06.01.02,0,,,,,,,,,,diffuse or permanent noise pollution
H06.02,0,,,,,,,,,,Light pollution
H06.03,0,,,,,,,,,,Thermal heating of water bodies
H06.04,0,,,,,,,,,,Electromagnetic changes
H06.05,0,,,,,,,,,,"Seismic exploration, explosions"
H07,0,,,,,,,,,,Other forms of pollution
I,0,,,,,,,,,,"Invasive, other problematic species and genes"
I01,0,,,,,,,,,,invasive non-native species
I02,0,,,,,,,,,,problematic native species
